Week,ClimateStrike
2018-11-18,0
2018-11-25,1
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,4
2019-02-17,1
2019-02-24,1
2019-03-03,2
2019-03-10,18
2019-03-17,3
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,2
2019-05-05,1
2019-05-12,1
2019-05-19,4
2019-05-26,1
2019-06-02,1
2019-06-09,0
2019-06-16,1
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,1
2019-07-28,0
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,2
2019-09-01,3
2019-09-08,8
2019-09-15,100
2019-09-22,43
2019-09-29,5
2019-10-06,3
2019-10-13,2
2019-10-20,2
2019-10-27,1
2019-11-03,1
2019-11-10,1
